,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,690.4228792190552,14.03415645625902,0.3061395486195882,0.013766933081233125,200,50,0.2,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.2}",0.5680214647719368,0.5661465063114999,0.5574992545472617,0.5638893490144111,0.004582636305388863,10,1.0,1.0,1.0,1.0,0.0
1,3480.4296634991965,7.417844627945919,0.7996820608774821,0.20439373429801805,200,20,0.001,"{'n_estimators': 200, 'max_depth': 20, 'learning_rate': 0.001}",0.574182649309351,0.5764834509492098,0.5681343802802902,0.5729335762796091,0.0035209809977599454,6,0.9917006261803002,0.9813655336911151,0.988819320214669,0.9872951600286948,0.00435475467310419
2,6227.030814965566,66.82045519181618,1.1258055369059246,0.1155654743142956,500,40,0.01,"{'n_estimators': 500, 'max_depth': 40, 'learning_rate': 0.01}",0.5622577760111299,0.5606798528973264,0.5542192624987575,0.5590525095245983,0.0034776378322137697,20,1.0,1.0,1.0,1.0,0.0
3,1226.0566589037578,18.282149833046187,1.868725061416626,0.036766725025253105,500,10,0.2,"{'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.2}",0.6354963728510384,0.6394990557598649,0.6342311897425703,0.636408812324002,0.0022452434003746315,3,1.0,1.0,1.0,1.0,0.0
4,4471.580169598262,17.02597022180424,0.8799401919047037,0.01805430926305905,300,40,0.01,"{'n_estimators': 300, 'max_depth': 40, 'learning_rate': 0.01}",0.5614627844579151,0.5620713646754796,0.5559089553722294,0.5598144773894318,0.0027726383672534755,18,1.0,1.0,1.0,1.0,0.0
5,689.7349902788798,9.016812694560235,0.3243543306986491,0.002350998983604393,200,30,0.2,"{'n_estimators': 200, 'max_depth': 30, 'learning_rate': 0.2}",0.5678227168836331,0.5703210416459596,0.5599840970082497,0.5660427364585059,0.004403639120489264,7,1.0,1.0,1.0,1.0,0.0
6,5452.551600138347,160.4935713781639,1.1173546314239502,0.015384540512993159,400,30,0.001,"{'n_estimators': 400, 'max_depth': 30, 'learning_rate': 0.001}",0.5639471330617112,0.5631646953583143,0.5552131994831527,0.5607752194798741,0.0039456981793238085,11,1.0,0.999950308089843,1.0,0.9999834360299477,2.342499109476275e-05
7,5431.705073992412,53.56095033482761,1.0586826006571453,0.01371059309777002,400,30,0.01,"{'n_estimators': 400, 'max_depth': 30, 'learning_rate': 0.01}",0.5637483851734075,0.5625683331676772,0.5557101679753503,0.5606758323670697,0.0035439781235939473,12,1.0,1.0,1.0,1.0,0.0
8,6761.295233567555,126.33727625949437,1.1456735134124756,0.05933118764658712,600,30,0.01,"{'n_estimators': 600, 'max_depth': 30, 'learning_rate': 0.01}",0.562854019676041,0.5623695457707981,0.5542192624987575,0.5598144773894318,0.003961158872921541,18,1.0,1.0,1.0,1.0,0.0
9,4102.781049251556,126.26121702737369,1.0552200476328533,0.1830764762763667,200,20,0.01,"{'n_estimators': 200, 'max_depth': 20, 'learning_rate': 0.01}",0.5765676239689953,0.5877149388728755,0.5780737501242421,0.5807851581911545,0.004938281655022753,5,1.0,1.0,1.0,1.0,0.0
10,6132.873817841212,131.95703666753678,1.1651008129119873,0.1154086159926416,500,40,0.001,"{'n_estimators': 500, 'max_depth': 40, 'learning_rate': 0.001}",0.5623571499552817,0.5614750024848425,0.5562071364675479,0.5600132516150406,0.0027151865591353865,16,1.0,1.0,1.0,1.0,0.0
11,6170.9593777656555,77.79310281879799,1.1557170550028484,0.0415017885169614,500,30,0.001,"{'n_estimators': 500, 'max_depth': 30, 'learning_rate': 0.001}",0.5641458809500149,0.561574396183282,0.5560083490706689,0.5605764452542653,0.0033962979712830075,13,1.0,0.999950308089843,1.0,0.9999834360299477,2.342499109476275e-05
12,5385.014185825984,92.50194406064978,1.0595026016235352,0.02640937924976489,400,40,0.001,"{'n_estimators': 400, 'max_depth': 40, 'learning_rate': 0.001}",0.5625558978435854,0.5620713646754796,0.5563065301659875,0.5603114129534537,0.0028386398301981047,15,1.0,1.0,1.0,1.0,0.0
13,688.1321939627329,6.820931772867061,0.3118917942047119,0.014317853660995849,300,50,0.2,"{'n_estimators': 300, 'max_depth': 50, 'learning_rate': 0.2}",0.5680214647719368,0.5651525693271047,0.5585925852300964,0.5639224780520126,0.003946425309221676,9,1.0,1.0,1.0,1.0,0.0
14,6139.914079825084,184.7528021836522,1.045038064320882,0.06305809108068898,500,30,0.01,"{'n_estimators': 500, 'max_depth': 30, 'learning_rate': 0.01}",0.5637483851734075,0.5619719709770401,0.5557101679753503,0.560477058141461,0.003447673189001972,14,1.0,1.0,1.0,1.0,0.0
15,3307.1191901365914,34.55143185597159,0.9326193332672119,0.20330901349924269,200,50,0.001,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.001}",0.562854019676041,0.5608786402942053,0.5558095616737899,0.5598476064270332,0.0029668953364620078,17,1.0,1.0,1.0,1.0,0.0
16,1850.6984773476918,20.294319719172208,1.3729908466339111,0.32017061486439286,500,10,0.01,"{'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.01}",0.6423531749975157,0.6513269058741675,0.6432760163005665,0.6456518138148086,0.004030344721753647,1,0.9565152569327104,0.9564698867024448,0.958755714569668,0.9572469527349411,0.0010670165009330156
